,Credit_Status
3551,Bad
11169,Bad
7838,Bad
14421,Bad
19539,Bad
3551,Bad
18098,Bad
8451,Bad
7577,Bad
14108,Bad
28451,Bad
1900,Bad
11519,Bad
20944,Bad
26610,Bad
13418,Bad
590,Bad
25820,Bad
14419,Bad
22508,Bad
1254,Bad
7463,Bad
9224,Bad
22598,Bad
4972,Bad
16145,Bad
22811,Bad
7498,Bad
27616,Bad
9035,Bad
15200,Bad
5991,Bad
7575,Bad
4022,Bad
26934,Bad
26567,Bad
29071,Bad
29071,Bad
5502,Bad
24511,Bad
19032,Bad
21941,Bad
9411,Bad
9307,Bad
5118,Bad
6103,Bad
10324,Bad
1792,Bad
7280,Bad
19049,Bad
3984,Bad
5993,Bad
24806,Bad
7063,Bad
5993,Bad
23704,Bad
387,Bad
25318,Bad
19461,Bad
20662,Bad
21732,Bad
7492,Bad
5693,Bad
11390,Bad
25240,Bad
1384,Bad
19139,Bad
11291,Bad
11714,Bad
25022,Bad
2830,Bad
25279,Bad
4436,Bad
12096,Bad
854,Bad
3482,Bad
9592,Bad
14509,Bad
26634,Bad
19458,Bad
22427,Bad
28235,Bad
17682,Bad
24865,Bad
9589,Bad
29186,Bad
101,Bad
387,Bad
22510,Bad
11206,Bad
14793,Bad
452,Bad
4737,Bad
25279,Bad
7367,Bad
15066,Bad
2871,Bad
23394,Bad
47,Bad
24450,Bad
8267,Bad
18583,Bad
4165,Bad
28235,Bad
21941,Bad
15147,Bad
10300,Bad
6104,Bad
21618,Bad
7790,Bad
25596,Bad
26351,Bad
17462,Bad
7578,Bad
14248,Bad
1637,Bad
20944,Bad
12485,Bad
3482,Bad
21394,Bad
23704,Bad
12485,Bad
19024,Bad
6102,Bad
11714,Bad
29162,Bad
22884,Bad
19731,Bad
25315,Bad
7841,Bad
23245,Bad
11703,Bad
24865,Bad
21962,Bad
18005,Bad
26739,Bad
26422,Bad
11390,Bad
10830,Bad
7352,Bad
18030,Bad
22409,Bad
2326,Bad
11393,Bad
26739,Bad
9496,Bad
8612,Bad
16576,Bad
2531,Bad
11703,Bad
21353,Bad
23150,Bad
11755,Bad
14196,Bad
27967,Bad
16575,Bad
4721,Bad
7492,Bad
2070,Bad
2326,Bad
20002,Bad
29094,Bad
14454,Bad
4738,Bad
24886,Bad
6099,Bad
446,Bad
7575,Bad
21299,Bad
4737,Bad
13505,Bad
15066,Bad
17701,Bad
7575,Bad
5656,Bad
16929,Bad
2326,Bad
25569,Bad
5580,Bad
2831,Bad
586,Bad
18005,Bad
