,Credit_Status
0,Good
1,Good
2,Good
3,Good
4,Good
5,Good
6,Good
7,Good
8,Good
9,Good
10,Good
11,Good
12,Good
13,Good
14,Good
15,Good
16,Good
17,Good
18,Good
19,Good
20,Good
21,Good
22,Good
23,Good
24,Good
25,Good
26,Good
27,Good
28,Good
29,Good
30,Good
31,Good
32,Good
33,Good
34,Good
35,Good
36,Good
37,Good
38,Good
39,Good
40,Good
41,Good
42,Good
43,Good
44,Good
45,Good
46,Good
47,Bad
48,Good
49,Good
50,Good
51,Good
52,Good
53,Good
54,Good
55,Good
56,Good
57,Good
58,Good
59,Good
60,Good
61,Good
62,Good
63,Good
64,Good
65,Good
66,Good
67,Good
68,Good
69,Good
70,Good
71,Good
72,Good
73,Good
74,Good
75,Good
76,Good
77,Good
78,Good
79,Good
80,Good
81,Good
82,Good
83,Good
84,Good
85,Good
86,Good
87,Good
88,Good
89,Good
90,Good
91,Good
92,Good
93,Good
94,Good
95,Good
96,Good
97,Good
98,Good
99,Good
100,Good
101,Bad
102,Good
103,Bad
104,Bad
105,Good
106,Good
107,Good
108,Good
109,Good
110,Good
111,Good
112,Good
113,Good
114,Good
115,Good
116,Good
117,Good
118,Good
119,Good
120,Good
121,Good
122,Good
123,Good
124,Good
125,Good
126,Good
127,Good
128,Good
129,Good
130,Good
131,Good
132,Good
133,Good
134,Good
135,Good
136,Good
137,Good
138,Good
139,Good
140,Good
141,Good
142,Good
143,Good
144,Good
145,Good
146,Good
147,Good
148,Good
149,Good
150,Good
151,Good
152,Good
153,Good
154,Good
155,Good
156,Good
157,Good
158,Good
159,Good
160,Good
161,Good
162,Good
163,Good
164,Good
165,Good
166,Good
167,Good
168,Good
169,Good
170,Good
171,Good
172,Good
173,Good
174,Good
175,Good
176,Good
177,Good
178,Good
179,Good
180,Good
181,Good
182,Good
183,Good
184,Good
185,Good
186,Good
187,Bad
188,Good
189,Good
190,Good
191,Good
192,Good
193,Good
194,Good
195,Good
196,Good
197,Good
198,Good
199,Good
200,Good
201,Good
202,Good
203,Good
204,Good
205,Good
206,Good
207,Good
208,Good
209,Good
210,Good
211,Good
212,Good
213,Good
214,Good
215,Good
216,Good
217,Good
218,Good
219,Good
220,Good
221,Good
222,Good
223,Good
224,Good
225,Good
226,Good
227,Good
228,Good
229,Good
230,Good
231,Good
232,Good
233,Good
234,Good
235,Good
236,Good
237,Good
238,Good
239,Good
240,Good
241,Good
242,Good
243,Good
244,Good
245,Good
246,Good
247,Good
248,Good
249,Good
250,Good
251,Good
252,Good
253,Good
254,Good
255,Good
256,Good
257,Good
258,Good
259,Good
260,Good
261,Good
262,Good
263,Good
264,Good
265,Good
266,Good
267,Good
268,Good
269,Good
270,Good
271,Good
272,Good
273,Good
274,Good
275,Good
276,Good
277,Good
278,Good
279,Good
280,Good
281,Good
282,Good
283,Good
284,Good
285,Good
286,Good
287,Good
288,Good
289,Good
290,Good
291,Good
292,Good
293,Good
294,Good
295,Good
296,Good
297,Good
298,Good
299,Good
300,Good
301,Good
302,Good
303,Good
304,Good
305,Good
306,Good
307,Good
308,Good
309,Good
310,Good
311,Good
312,Good
313,Good
314,Good
315,Good
316,Good
317,Good
318,Good
319,Good
320,Good
321,Good
322,Good
323,Good
324,Good
325,Good
326,Good
327,Good
328,Good
329,Good
330,Good
331,Good
332,Good
333,Good
334,Good
335,Good
336,Good
337,Good
338,Good
339,Good
340,Bad
341,Good
342,Good
343,Good
344,Good
345,Good
346,Good
347,Good
348,Good
349,Bad
350,Good
351,Good
352,Good
353,Good
354,Good
355,Good
356,Good
357,Good
358,Good
359,Good
360,Good
361,Bad
362,Good
363,Good
364,Good
365,Good
366,Good
367,Good
368,Good
369,Good
370,Good
371,Good
372,Good
373,Good
374,Good
375,Good
376,Good
377,Good
378,Good
379,Good
380,Good
381,Good
382,Good
383,Good
384,Good
385,Good
386,Good
387,Bad
388,Good
389,Good
390,Good
391,Good
392,Good
393,Good
394,Good
395,Good
396,Good
397,Good
398,Good
399,Good
400,Good
401,Good
402,Good
403,Good
404,Good
405,Good
406,Good
407,Good
408,Good
409,Good
410,Good
411,Good
412,Good
413,Good
414,Good
415,Good
416,Good
417,Good
418,Good
419,Good
420,Good
421,Good
422,Good
423,Good
424,Good
425,Good
426,Good
427,Good
428,Good
429,Good
430,Good
431,Good
432,Good
433,Good
434,Good
435,Good
436,Good
437,Good
438,Good
439,Good
440,Good
441,Good
442,Good
443,Good
444,Good
445,Good
446,Bad
447,Good
448,Good
449,Good
450,Good
451,Good
452,Bad
453,Good
454,Good
455,Good
456,Good
457,Good
458,Good
459,Good
460,Good
461,Good
462,Good
463,Good
464,Good
465,Good
466,Good
467,Good
468,Good
469,Good
470,Bad
471,Good
472,Good
473,Good
474,Good
475,Good
476,Good
477,Good
478,Good
479,Good
480,Good
481,Good
482,Good
483,Good
484,Good
485,Good
486,Good
487,Good
488,Good
489,Good
490,Bad
491,Good
492,Good
493,Good
494,Good
495,Good
496,Good
497,Good
498,Good
499,Good
500,Good
501,Good
502,Good
503,Good
504,Good
505,Good
506,Good
507,Good
508,Good
509,Good
510,Good
511,Good
512,Good
513,Good
514,Good
515,Good
516,Good
517,Good
518,Good
519,Good
520,Good
521,Good
522,Good
523,Good
524,Good
525,Good
526,Good
527,Good
528,Good
529,Good
530,Good
531,Good
532,Good
533,Good
534,Good
535,Good
536,Good
537,Good
538,Good
539,Bad
540,Bad
541,Good
542,Good
543,Good
544,Good
545,Good
546,Good
547,Good
548,Good
549,Good
550,Good
551,Good
552,Good
553,Good
554,Good
555,Good
556,Good
557,Bad
558,Good
559,Good
560,Good
561,Good
562,Good
563,Good
564,Good
565,Good
566,Good
567,Good
568,Good
569,Good
570,Good
571,Good
572,Good
573,Good
574,Good
575,Good
576,Good
577,Good
578,Good
579,Good
580,Good
581,Good
582,Good
583,Good
584,Good
585,Good
586,Bad
587,Good
588,Good
589,Good
590,Bad
591,Good
592,Good
593,Good
594,Good
595,Good
596,Good
597,Good
598,Good
599,Good
600,Good
601,Good
602,Good
603,Good
604,Good
605,Good
606,Good
607,Good
608,Good
609,Good
610,Good
611,Good
612,Good
613,Good
614,Good
615,Good
616,Good
617,Good
618,Good
619,Good
620,Good
621,Good
622,Good
623,Good
624,Good
625,Good
626,Good
627,Good
628,Good
629,Good
630,Good
631,Good
632,Good
633,Good
634,Good
635,Good
636,Good
637,Good
638,Good
639,Good
640,Good
641,Good
642,Good
643,Good
644,Good
645,Good
646,Good
647,Good
648,Good
649,Good
650,Good
651,Good
652,Good
653,Good
654,Good
655,Good
656,Good
657,Good
658,Good
659,Good
660,Good
661,Good
662,Good
663,Good
664,Good
665,Good
666,Good
667,Good
668,Good
669,Good
670,Good
671,Good
672,Good
673,Good
674,Good
675,Good
676,Good
677,Good
678,Good
679,Good
680,Good
681,Good
682,Good
683,Good
684,Good
685,Good
686,Bad
687,Good
688,Good
689,Good
690,Good
691,Bad
692,Good
693,Good
694,Good
695,Good
696,Good
697,Good
698,Good
699,Good
700,Good
701,Good
702,Good
703,Good
704,Good
705,Good
706,Good
707,Good
708,Good
709,Good
710,Good
711,Good
712,Good
713,Good
714,Good
715,Good
716,Good
717,Good
718,Good
719,Good
720,Good
